Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,1.0,0.0,5
Moderate_Standard,0.8,0.013333,5
Moderate_Aggressive,1.0,0.0,4
Moderate_Gradual,1.0,0.0,5
Moderate_TwoStage,1.0,0.0,4
Aggressive_Linear,1.0,0.0,4
Aggressive_Standard,1.0,0.0,4
Aggressive_Aggressive,0.8,0.013333,4
Aggressive_Gradual,1.0,0.0,4
Aggressive_TwoStage,1.0,0.0,4
Conservative_Linear,1.0,0.0,6
Conservative_Standard,0.8,0.013333,6
Conservative_Aggressive,1.0,0.0,4
Conservative_Gradual,1.0,0.0,6
Conservative_TwoStage,0.8,0.011333,4
VeryAggressive_Linear,1.0,0.0,4
VeryAggressive_Standard,1.0,0.0,4
VeryAggressive_Aggressive,0.8,0.013333,4
VeryAggressive_Gradual,1.0,0.0,4
VeryAggressive_TwoStage,1.0,0.0,4
Standard_Linear,1.0,0.0,6
Standard_Standard,1.0,0.0,7
Standard_Aggressive,0.4,0.07,4
Standard_Gradual,1.0,0.0,8
Standard_TwoStage,0.2,0.115333,4
