Hybrid_Schedule,Round,Configs,Epochs,Hit_Probability,Regret
Moderate_Linear,1,100,1,1.0,0.0
Moderate_Linear,2,80,10,0.6,0.0032
Moderate_Linear,3,60,30,0.4,0.0048
Moderate_Linear,4,40,100,1.0,0.0
Moderate_Linear,5,1,100,0.4,0.0116
Moderate_Standard,1,100,1,1.0,0.0
Moderate_Standard,2,50,10,0.0,0.008
Moderate_Standard,3,25,30,1.0,0.0
Moderate_Standard,4,12,100,1.0,0.0
Moderate_Standard,5,1,100,0.4,0.01
Moderate_Aggressive,1,100,1,1.0,0.0
Moderate_Aggressive,2,20,10,0.0,0.0208
Moderate_Aggressive,3,5,30,0.4,0.0012
Moderate_Aggressive,4,1,100,0.4,0.0084
Moderate_Gradual,1,100,1,1.0,0.0
Moderate_Gradual,2,90,10,0.8,0.0016
Moderate_Gradual,3,80,30,1.0,0.0
Moderate_Gradual,4,70,100,1.0,0.0
Moderate_Gradual,5,1,100,0.2,0.016
Moderate_TwoStage,1,100,1,1.0,0.0
Moderate_TwoStage,2,50,10,0.0,0.008
Moderate_TwoStage,3,25,30,1.0,0.0
Moderate_TwoStage,4,1,100,0.4,0.0132
Aggressive_Linear,1,100,1,1.0,0.0
Aggressive_Linear,2,80,20,1.0,0.0
Aggressive_Linear,3,60,100,1.0,0.0
Aggressive_Linear,4,1,100,0.2,0.016
Aggressive_Standard,1,100,1,1.0,0.0
Aggressive_Standard,2,50,20,0.4,0.0048
Aggressive_Standard,3,25,100,0.8,0.0
Aggressive_Standard,4,1,100,0.4,0.0132
Aggressive_Aggressive,1,100,1,1.0,0.0
Aggressive_Aggressive,2,20,20,0.4,0.012
Aggressive_Aggressive,3,5,100,0.4,0.0016
Aggressive_Aggressive,4,1,100,0.2,0.0032
Aggressive_Gradual,1,100,1,1.0,0.0
Aggressive_Gradual,2,90,20,1.0,0.0
Aggressive_Gradual,3,80,100,1.0,0.0
Aggressive_Gradual,4,1,100,0.2,0.022
Aggressive_TwoStage,1,100,1,1.0,0.0
Aggressive_TwoStage,2,50,20,0.4,0.0048
Aggressive_TwoStage,3,25,100,0.8,0.0
Aggressive_TwoStage,4,1,100,0.4,0.0132
Conservative_Linear,1,100,5,1.0,0.0
Conservative_Linear,2,80,20,1.0,0.0
Conservative_Linear,3,60,50,1.0,0.0
Conservative_Linear,4,40,75,1.0,0.0
Conservative_Linear,5,20,100,0.8,0.0016
Conservative_Linear,6,1,100,0.2,0.0108
Conservative_Standard,1,100,5,1.0,0.0
Conservative_Standard,2,50,20,0.4,0.0048
Conservative_Standard,3,25,50,0.6,0.0024
Conservative_Standard,4,12,75,0.8,0.0
Conservative_Standard,5,6,100,0.6,0.0
Conservative_Standard,6,1,100,0.4,0.0036
Conservative_Aggressive,1,100,5,1.0,0.0
Conservative_Aggressive,2,20,20,0.4,0.012
Conservative_Aggressive,3,5,50,0.2,0.0024
Conservative_Aggressive,4,1,75,0.6,0.0016
Conservative_Gradual,1,100,5,1.0,0.0
Conservative_Gradual,2,90,20,1.0,0.0
Conservative_Gradual,3,80,50,1.0,0.0
Conservative_Gradual,4,70,75,1.0,0.0
Conservative_Gradual,5,60,100,1.0,0.0
Conservative_Gradual,6,1,100,0.2,0.0176
Conservative_TwoStage,1,100,5,1.0,0.0
Conservative_TwoStage,2,50,20,0.4,0.0048
Conservative_TwoStage,3,25,50,0.6,0.0024
Conservative_TwoStage,4,1,75,0.4,0.0108
VeryAggressive_Linear,1,100,1,1.0,0.0
VeryAggressive_Linear,2,80,50,1.0,0.0
VeryAggressive_Linear,3,60,100,1.0,0.0
VeryAggressive_Linear,4,1,100,0.2,0.0176
VeryAggressive_Standard,1,100,1,1.0,0.0
VeryAggressive_Standard,2,50,50,1.0,0.0
VeryAggressive_Standard,3,25,100,1.0,0.0
VeryAggressive_Standard,4,1,100,0.2,0.0104
VeryAggressive_Aggressive,1,100,1,1.0,0.0
VeryAggressive_Aggressive,2,20,50,0.8,0.0016
VeryAggressive_Aggressive,3,5,100,0.6,0.0032
VeryAggressive_Aggressive,4,1,100,0.2,0.008
VeryAggressive_Gradual,1,100,1,1.0,0.0
VeryAggressive_Gradual,2,90,50,1.0,0.0
VeryAggressive_Gradual,3,80,100,1.0,0.0
VeryAggressive_Gradual,4,1,100,0.2,0.0144
VeryAggressive_TwoStage,1,100,1,1.0,0.0
VeryAggressive_TwoStage,2,50,50,1.0,0.0
VeryAggressive_TwoStage,3,25,100,1.0,0.0
VeryAggressive_TwoStage,4,1,100,0.2,0.0104
Standard_Linear,1,100,1,1.0,0.0
Standard_Linear,2,80,5,0.6,0.0032
Standard_Linear,3,60,15,0.4,0.0048
Standard_Linear,4,40,30,0.4,0.0048
Standard_Linear,5,20,50,1.0,0.0
Standard_Linear,6,1,70,0.2,0.006
Standard_Standard,1,100,1,1.0,0.0
Standard_Standard,2,50,5,0.0,0.008
Standard_Standard,3,25,15,0.4,0.0072
Standard_Standard,4,12,30,0.8,0.0004
Standard_Standard,5,6,50,0.4,0.002
Standard_Standard,6,3,70,0.8,0.0004
Standard_Standard,7,1,100,0.4,0.0016
Standard_Aggressive,1,100,1,1.0,0.0
Standard_Aggressive,2,20,5,0.0,0.02
Standard_Aggressive,3,5,15,0.6,0.0
Standard_Aggressive,4,1,30,0.4,0.006
Standard_Gradual,1,100,1,1.0,0.0
Standard_Gradual,2,90,5,1.0,0.0
Standard_Gradual,3,80,15,1.0,0.0
Standard_Gradual,4,70,30,0.8,0.0016
Standard_Gradual,5,60,50,1.0,0.0
Standard_Gradual,6,50,70,1.0,0.0
Standard_Gradual,7,40,100,1.0,0.0
Standard_Gradual,8,1,100,0.2,0.0108
Standard_TwoStage,1,100,1,1.0,0.0
Standard_TwoStage,2,50,5,0.0,0.008
Standard_TwoStage,3,25,15,0.4,0.0072
Standard_TwoStage,4,1,30,0.0,0.0116
