Hybrid_Schedule,Round,Configs,Epochs,Hit_Probability,Regret
Moderate_Linear,1,100,1,1.0,0.0
Moderate_Linear,2,80,10,1.0,0.0
Moderate_Linear,3,60,30,1.0,0.0
Moderate_Linear,4,40,100,1.0,0.0
Moderate_Linear,5,1,100,0.8,0.000301
Moderate_Standard,1,100,1,1.0,0.0
Moderate_Standard,2,50,10,0.8,4.3e-05
Moderate_Standard,3,25,30,1.0,0.0
Moderate_Standard,4,12,100,1.0,0.0
Moderate_Standard,5,1,100,0.0,0.000602
Moderate_Aggressive,1,100,1,1.0,0.0
Moderate_Aggressive,2,20,10,0.6,4.3e-05
Moderate_Aggressive,3,5,30,0.8,4.3e-05
Moderate_Aggressive,4,1,100,1.0,0.0
Moderate_Gradual,1,100,1,1.0,0.0
Moderate_Gradual,2,90,10,1.0,0.0
Moderate_Gradual,3,80,30,1.0,0.0
Moderate_Gradual,4,70,100,1.0,0.0
Moderate_Gradual,5,1,100,1.0,0.0
Moderate_TwoStage,1,100,1,1.0,0.0
Moderate_TwoStage,2,50,10,0.8,4.3e-05
Moderate_TwoStage,3,25,30,1.0,0.0
Moderate_TwoStage,4,1,100,0.0,0.000731
Aggressive_Linear,1,100,1,1.0,0.0
Aggressive_Linear,2,80,20,1.0,0.0
Aggressive_Linear,3,60,100,1.0,0.0
Aggressive_Linear,4,1,100,0.8,0.000645
Aggressive_Standard,1,100,1,1.0,0.0
Aggressive_Standard,2,50,20,1.0,0.0
Aggressive_Standard,3,25,100,1.0,0.0
Aggressive_Standard,4,1,100,0.2,0.000946
Aggressive_Aggressive,1,100,1,1.0,0.0
Aggressive_Aggressive,2,20,20,1.0,0.0
Aggressive_Aggressive,3,5,100,0.2,0.0
Aggressive_Aggressive,4,1,100,0.0,0.000215
Aggressive_Gradual,1,100,1,1.0,0.0
Aggressive_Gradual,2,90,20,1.0,0.0
Aggressive_Gradual,3,80,100,1.0,0.0
Aggressive_Gradual,4,1,100,1.0,0.0
Aggressive_TwoStage,1,100,1,1.0,0.0
Aggressive_TwoStage,2,50,20,1.0,0.0
Aggressive_TwoStage,3,25,100,1.0,0.0
Aggressive_TwoStage,4,1,100,0.2,0.000946
Conservative_Linear,1,100,5,1.0,0.0
Conservative_Linear,2,80,20,1.0,0.0
Conservative_Linear,3,60,50,1.0,0.0
Conservative_Linear,4,40,75,1.0,0.0
Conservative_Linear,5,20,100,1.0,0.0
Conservative_Linear,6,1,100,0.4,0.000903
Conservative_Standard,1,100,5,1.0,0.0
Conservative_Standard,2,50,20,1.0,0.0
Conservative_Standard,3,25,50,1.0,0.0
Conservative_Standard,4,12,75,1.0,0.0
Conservative_Standard,5,6,100,0.4,0.000172
Conservative_Standard,6,1,100,0.0,0.000215
Conservative_Aggressive,1,100,5,1.0,0.0
Conservative_Aggressive,2,20,20,1.0,0.0
Conservative_Aggressive,3,5,50,0.4,0.000172
Conservative_Aggressive,4,1,75,0.4,0.000387
Conservative_Gradual,1,100,5,1.0,0.0
Conservative_Gradual,2,90,20,1.0,0.0
Conservative_Gradual,3,80,50,1.0,0.0
Conservative_Gradual,4,70,75,1.0,0.0
Conservative_Gradual,5,60,100,1.0,0.0
Conservative_Gradual,6,1,100,0.8,0.000645
Conservative_TwoStage,1,100,5,1.0,0.0
Conservative_TwoStage,2,50,20,1.0,0.0
Conservative_TwoStage,3,25,50,1.0,0.0
Conservative_TwoStage,4,1,75,0.0,0.000946
VeryAggressive_Linear,1,100,1,1.0,0.0
VeryAggressive_Linear,2,80,50,1.0,0.0
VeryAggressive_Linear,3,60,100,1.0,0.0
VeryAggressive_Linear,4,1,100,0.8,0.000645
VeryAggressive_Standard,1,100,1,1.0,0.0
VeryAggressive_Standard,2,50,50,1.0,0.0
VeryAggressive_Standard,3,25,100,1.0,0.0
VeryAggressive_Standard,4,1,100,0.6,0.000688
VeryAggressive_Aggressive,1,100,1,1.0,0.0
VeryAggressive_Aggressive,2,20,50,1.0,0.0
VeryAggressive_Aggressive,3,5,100,0.6,4.3e-05
VeryAggressive_Aggressive,4,1,100,0.0,0.000215
VeryAggressive_Gradual,1,100,1,1.0,0.0
VeryAggressive_Gradual,2,90,50,1.0,0.0
VeryAggressive_Gradual,3,80,100,1.0,0.0
VeryAggressive_Gradual,4,1,100,1.0,0.0
VeryAggressive_TwoStage,1,100,1,1.0,0.0
VeryAggressive_TwoStage,2,50,50,1.0,0.0
VeryAggressive_TwoStage,3,25,100,1.0,0.0
VeryAggressive_TwoStage,4,1,100,0.6,0.000688
Standard_Linear,1,100,1,1.0,0.0
Standard_Linear,2,80,5,1.0,0.0
Standard_Linear,3,60,15,1.0,0.0
Standard_Linear,4,40,30,1.0,0.0
Standard_Linear,5,20,50,1.0,0.0
Standard_Linear,6,1,70,0.0,0.001032
Standard_Standard,1,100,1,1.0,0.0
Standard_Standard,2,50,5,0.8,4.3e-05
Standard_Standard,3,25,15,0.4,4.3e-05
Standard_Standard,4,12,30,0.8,4.3e-05
Standard_Standard,5,6,50,1.0,0.0
Standard_Standard,6,3,70,0.8,8.6e-05
Standard_Standard,7,1,100,0.0,0.000215
Standard_Aggressive,1,100,1,1.0,0.0
Standard_Aggressive,2,20,5,0.4,4.3e-05
Standard_Aggressive,3,5,15,0.8,8.6e-05
Standard_Aggressive,4,1,30,0.4,0.000516
Standard_Gradual,1,100,1,1.0,0.0
Standard_Gradual,2,90,5,1.0,0.0
Standard_Gradual,3,80,15,1.0,0.0
Standard_Gradual,4,70,30,1.0,0.0
Standard_Gradual,5,60,50,1.0,0.0
